Date,Open,High,Low,Close,Volume
2022-01-03,379.70,381.73,378.81,381.33,70331488
2022-01-04,381.49,381.79,380.85,381.40,67483644
2022-01-05,380.91,384.51,380.58,384.04,75793097
2022-01-06,384.50,388.02,384.41,387.94,72509859
2022-01-07,388.26,388.76,385.05,386.16,66580433
2022-01-10,386.48,387.04,385.13,385.89,60314107
2022-01-11,385.18,388.45,384.59,388.23,71129227
2022-01-12,388.07,389.24,387.73,388.50,74330883
2022-01-13,389.23,390.01,386.88,387.14,74097467
2022-01-14,387.31,387.42,383.93,384.39,78079740
2022-01-17,384.90,385.18,382.64,383.75,67499658
2022-01-18,383.85,384.15,380.11,380.91,76074025
2022-01-19,380.28,380.97,376.90,377.80,70983546
2022-01-20,377.62,378.78,377.51,377.87,66169440
2022-01-21,377.30,378.31,376.43,377.09,68685811
2022-01-24,376.37,378.78,375.60,377.74,66980341
2022-01-25,378.07,380.52,377.35,379.77,73970458
2022-01-26,380.51,381.59,375.75,376.52,79890166
2022-01-27,375.83,378.59,375.51,378.00,63158290
2022-01-28,377.91,382.07,377.90,381.24,63268274
2022-01-31,380.49,384.22,380.01,383.54,62598065
2022-02-01,383.46,384.05,380.98,381.53,74278950
2022-02-02,381.09,381.48,379.79,380.02,77609590
2022-02-03,379.46,379.59,376.89,378.00,68629258
2022-02-04,377.34,377.82,376.72,377.23,64446236
2022-02-07,377.12,377.39,375.61,376.26,78250845
2022-02-08,376.23,377.55,375.95,377.40,74979001
2022-02-09,377.25,380.92,376.23,380.58,68746765
2022-02-10,380.08,380.74,379.12,380.38,75796472
2022-02-11,381.02,384.95,380.66,383.95,69957810
2022-02-14,384.68,386.13,383.59,385.11,66344700
2022-02-15,385.34,387.00,385.11,386.11,71713778
2022-02-16,386.74,388.68,386.23,387.92,62098210
2022-02-17,388.58,390.17,387.63,389.96,60233538
2022-02-18,390.16,392.84,389.78,392.04,76058027
2022-02-21,391.27,392.20,389.77,390.19,76223716
2022-02-22,389.50,390.60,386.78,387.31,72614824
2022-02-23,387.24,388.19,383.63,384.19,60999216
2022-02-24,384.61,385.59,380.72,381.46,69494949
2022-02-25,381.86,382.66,379.16,379.96,79409786
2022-02-28,380.32,380.55,378.53,379.14,73624303
2022-03-01,378.53,379.70,377.73,378.78,65505223
2022-03-02,379.22,379.43,376.51,376.81,62799712
2022-03-03,376.25,381.15,375.73,380.26,66207779
2022-03-04,380.23,383.61,379.42,383.14,74549627
2022-03-07,382.86,383.23,381.20,382.31,77283768
2022-03-08,382.49,386.41,381.83,385.55,63995684
2022-03-09,386.08,387.00,383.47,384.02,72117294
2022-03-10,384.26,385.31,382.95,383.43,71393823
2022-03-11,383.82,386.33,383.09,386.27,74687466
2022-03-14,386.99,387.27,385.44,386.51,64838378
2022-03-15,385.76,390.83,385.63,389.73,61236414
2022-03-16,389.12,389.78,388.17,389.33,61854711
2022-03-17,389.64,390.69,386.16,386.66,67888845
2022-03-18,385.90,389.42,385.48,389.09,72785671
2022-03-21,389.42,389.53,386.75,386.81,71444806
2022-03-22,386.49,386.53,383.11,383.12,76494339
2022-03-23,383.80,384.56,380.90,381.40,75215799
2022-03-24,381.56,381.93,379.48,379.85,62460204
2022-03-25,380.28,383.09,379.63,383.05,68610266
2022-03-28,383.51,384.30,379.38,379.93,60338105
2022-03-29,379.73,380.48,377.24,378.30,75697974
2022-03-30,378.41,381.91,377.64,381.68,75978971
2022-03-31,381.38,385.96,380.74,385.64,61693699
2022-04-01,385.79,386.81,384.96,386.62,69278560
2022-04-04,386.24,386.32,384.11,384.56,64699093
2022-04-05,384.18,386.47,383.53,386.13,71525099
2022-04-06,385.74,386.41,385.46,385.67,60627537
2022-04-07,386.19,388.94,385.06,388.45,75658912
2022-04-08,388.87,389.97,384.72,385.85,69510214
2022-04-11,386.21,388.24,385.21,387.83,69536810
2022-04-12,388.12,391.33,388.02,391.03,68842594
2022-04-13,391.08,392.19,389.36,390.08,67411203
2022-04-14,390.29,394.02,390.21,393.76,71778935
2022-04-15,393.11,393.17,389.97,390.67,75888577
2022-04-18,390.12,390.60,388.61,389.38,72318362
2022-04-19,388.64,389.81,386.68,387.47,75124185
2022-04-20,387.34,387.99,386.80,387.34,73649524
2022-04-21,386.65,387.24,385.49,386.15,71439459
2022-04-22,386.10,389.24,385.50,389.13,77031736
2022-04-25,389.23,393.86,388.65,392.71,71415874
2022-04-26,392.63,394.50,391.66,393.57,74489000
2022-04-27,393.19,393.50,390.15,390.54,67323634
2022-04-28,390.88,391.57,389.26,389.93,76679187
2022-04-29,390.25,390.73,387.43,388.04,76985800
2022-05-02,388.41,391.39,387.41,391.03,75074140
2022-05-03,391.28,392.14,387.87,389.03,75358107
2022-05-04,389.13,390.15,386.27,387.16,62547364
2022-05-05,386.60,390.69,385.61,389.57,77721940
2022-05-06,388.84,388.96,386.65,387.78,76114430
